# ix_bunch       =     1
# n_particle     =    256
# n_alive        =    256
# n_dead         =     0
# charge         =  1.0000000000000002E-12
# ix_branch      = 0
# direction      = 1
# time_dir       = 1
# species        = Proton              
#! index   z       pz                    p0c             s_position  state  ix_ele      location
       1 -2.368421E-03  -1.968421E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
       2 -1.421053E-03  -1.968421E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
       3 -4.736842E-04  -1.968421E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
       4 4.736842E-04  -1.968421E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
       5 1.421053E-03  -1.968421E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
       6 2.368421E-03  -1.968421E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
       7 -4.263158E-03  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
       8 -3.315789E-03  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
       9 -2.368421E-03  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      10 -1.421053E-03  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      11 -4.736842E-04  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      12 4.736842E-04  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      13 1.421053E-03  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      14 2.368421E-03  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      15 3.315789E-03  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      16 4.263158E-03  -1.736842E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      17 -5.210526E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      18 -4.263158E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      19 -3.315789E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      20 -2.368421E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      21 -1.421053E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      22 -4.736842E-04  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      23 4.736842E-04  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      24 1.421053E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      25 2.368421E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      26 3.315789E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
      27 4.263158E-03  -1.505263E-02  1.000000000000000E+10  0.000000000000000E+00  Alive       0  Upstream_End
